ID,Name,Nationality,Club,Preferred Foot,Work Rate
158023,L. Messi,Argentina,FC Barcelona,Left,Medium/ Medium
20801,Cristiano Ronaldo,Portugal,Juventus,Right,High/ Low
190871,Neymar Jr,Brazil,Paris Saint-Germain,Right,High/ Medium
192985,K. De Bruyne,Belgium,Manchester City,Right,High/ High
183277,E. Hazard,Belgium,Chelsea,Right,High/ Medium
177003,L. Modrić,Croatia,Real Madrid,Right,High/ High
176580,L. Suárez,Uruguay,FC Barcelona,Right,High/ Medium
155862,Sergio Ramos,Spain,Real Madrid,Right,High/ Medium
188545,R. Lewandowski,Poland,FC Bayern München,Right,High/ Medium
182521,T. Kroos,Germany,Real Madrid,Right,Medium/ Medium
182493,D. Godín,Uruguay,Atlético Madrid,Right,Medium/ High
168542,David Silva,Spain,Manchester City,Left,High/ Medium
215914,N. Kanté,France,Chelsea,Right,Medium/ High
211110,P. Dybala,Argentina,Juventus,Left,High/ Medium
202126,H. Kane,England,Tottenham Hotspur,Right,High/ High
194765,A. Griezmann,France,Atlético Madrid,Left,High/ High
189511,Sergio Busquets,Spain,FC Barcelona,Right,Medium/ Medium
179813,E. Cavani,Uruguay,Paris Saint-Germain,Right,High/ High
153079,S. Agüero,Argentina,Manchester City,Right,High/ Medium
138956,G. Chiellini,Italy,Juventus,Left,Medium/ High
231747,K. Mbappé,France,Paris Saint-Germain,Right,High/ Medium
209331,M. Salah,Egypt,Liverpool,Left,High/ Medium
200145,Casemiro,Brazil,Real Madrid,Right,Medium/ High
198219,L. Insigne,Italy,Napoli,Right,High/ Medium
197781,Isco,Spain,Real Madrid,Right,High/ Medium
190460,C. Eriksen,Denmark,Tottenham Hotspur,Right,High/ Medium
189242,Coutinho,Brazil,FC Barcelona,Right,High/ High
188567,P. Aubameyang,Gabon,Arsenal,Right,Medium/ Low
178603,M. Hummels,Germany,FC Bayern München,Right,High/ Medium
176676,Marcelo,Brazil,Real Madrid,Left,High/ Low
173731,G. Bale,Wales,Real Madrid,Left,High/ Medium
164240,Thiago Silva,Brazil,Paris Saint-Germain,Right,Medium/ High
205600,S. Umtiti,France,FC Barcelona,Left,Medium/ High
201399,M. Icardi,Argentina,Inter,Right,Medium/ Low
201024,K. Koulibaly,Senegal,Napoli,Right,High/ High
195864,P. Pogba,France,Manchester United,Right,High/ Low
192505,R. Lukaku,Belgium,Manchester United,Left,Medium/ Medium
192387,C. Immobile,Italy,Lazio,Right,High/ Medium
189332,Jordi Alba,Spain,FC Barcelona,Left,High/ Medium
175943,D. Mertens,Belgium,Napoli,Right,High/ Low
172871,J. Vertonghen,Belgium,Tottenham Hotspur,Left,High/ High
171877,M. Hamšík,Slovakia,Napoli,Right,High/ Medium
168651,I. Rakitić,Croatia,FC Barcelona,Right,High/ High
152729,Piqué,Spain,FC Barcelona,Right,High/ Medium
222492,L. Sané,Germany,Manchester City,Left,High/ Medium
218667,Bernardo Silva,Portugal,Manchester City,Left,High/ Medium
208722,S. Mané,Senegal,Liverpool,Right,High/ Medium
203376,V. van Dijk,Netherlands,Liverpool,Right,Medium/ Medium
202652,R. Sterling,England,Manchester City,Right,High/ Medium
201942,Roberto Firmino,Brazil,Liverpool,Right,High/ High
201535,R. Varane,France,Real Madrid,Right,Medium/ High
199556,M. Verratti,Italy,Paris Saint-Germain,Right,Medium/ High
191043,Alex Sandro,Brazil,Juventus,Left,High/ High
190483,Douglas Costa,Brazil,Juventus,Left,High/ Medium
189596,T. Müller,Germany,FC Bayern München,Right,High/ High
189509,Thiago,Spain,FC Bayern München,Right,Medium/ Medium
188350,M. Reus,Germany,Borussia Dortmund,Right,High/ Medium
184432,Azpilicueta,Spain,Chelsea,Right,Medium/ Medium
184344,L. Bonucci,Italy,Juventus,Right,Low/ High
184087,T. Alderweireld,Belgium,Tottenham Hotspur,Right,Medium/ Medium
180206,M. Pjanić,Bosnia Herzegovina,Juventus,Right,Medium/ Medium
177509,M. Benatia,Morocco,Juventus,Right,Medium/ High
